refactoring_type,class_name,method_name,lines_changed,cyclomatic_complexity,nesting_depth,file_path,commit_sha,class_encoded,method_encoded
Change Method Access Modifier,CompletionPhase,package,38,12,4,platform/lang-impl/src/com/intellij/codeInsight/completion/CompletionPhase.java,26aa6dc4def83c2150aa99fce863953a1bd3ccde,6,1
Change Method Access Modifier,CompletionPhase,package,3,1,1,platform/lang-impl/src/com/intellij/codeInsight/completion/CompletionPhase.java,26aa6dc4def83c2150aa99fce863953a1bd3ccde,6,1
Add Parameter Annotation,CodeCompletionHandlerBase,protected,1,1,1,platform/lang-impl/src/com/intellij/codeInsight/completion/CodeCompletionHandlerBase.java,391f4f62f4ad8e77541aff22992694daa46360ca,5,3
Add Parameter Annotation,CodeCompletionHandlerBase,private,1,1,1,platform/lang-impl/src/com/intellij/codeInsight/completion/CodeCompletionHandlerBase.java,391f4f62f4ad8e77541aff22992694daa46360ca,5,2
Add Parameter Annotation,CodeCompletionHandlerBase,private,1,1,1,platform/lang-impl/src/com/intellij/codeInsight/completion/CodeCompletionHandlerBase.java,391f4f62f4ad8e77541aff22992694daa46360ca,5,2
Add Method Annotation,CodeCompletionHandlerBase,private,21,1,2,platform/lang-impl/src/com/intellij/codeInsight/completion/CodeCompletionHandlerBase.java,391f4f62f4ad8e77541aff22992694daa46360ca,5,2
Add Parameter Annotation,CompletionProgressIndicator,package,1,1,1,platform/lang-impl/src/com/intellij/codeInsight/completion/CompletionProgressIndicator.java,391f4f62f4ad8e77541aff22992694daa46360ca,9,1
Add Parameter Annotation,CompletionProgressIndicator,package,1,1,1,platform/lang-impl/src/com/intellij/codeInsight/completion/CompletionProgressIndicator.java,391f4f62f4ad8e77541aff22992694daa46360ca,9,1
Add Parameter Annotation,CompletionPhase,public,1,4,1,platform/lang-impl/src/com/intellij/codeInsight/completion/CompletionPhase.java,391f4f62f4ad8e77541aff22992694daa46360ca,6,4
Remove Parameter Modifier,CompletionPhase,public,1,4,1,platform/lang-impl/src/com/intellij/codeInsight/completion/CompletionPhase.java,391f4f62f4ad8e77541aff22992694daa46360ca,6,4
Add Attribute Annotation,CompletionPhase,,1,1,1,platform/lang-impl/src/com/intellij/codeInsight/completion/CompletionPhase.java,391f4f62f4ad8e77541aff22992694daa46360ca,6,0
Add Parameter Annotation,CompletionPhase,package,1,1,1,platform/lang-impl/src/com/intellij/codeInsight/completion/CompletionPhase.java,391f4f62f4ad8e77541aff22992694daa46360ca,6,1
Add Parameter Annotation,CompletionPhase,package,1,1,1,platform/lang-impl/src/com/intellij/codeInsight/completion/CompletionPhase.java,391f4f62f4ad8e77541aff22992694daa46360ca,6,1
Add Parameter Annotation,CompletionPhase,package,1,1,1,platform/lang-impl/src/com/intellij/codeInsight/completion/CompletionPhase.java,391f4f62f4ad8e77541aff22992694daa46360ca,6,1
Add Parameter Annotation,CompletionPhase,package,1,1,1,platform/lang-impl/src/com/intellij/codeInsight/completion/CompletionPhase.java,391f4f62f4ad8e77541aff22992694daa46360ca,6,1
Add Parameter Annotation,CompletionPhase,package,1,1,1,platform/lang-impl/src/com/intellij/codeInsight/completion/CompletionPhase.java,391f4f62f4ad8e77541aff22992694daa46360ca,6,1
Add Method Annotation,CompletionPhase,public,4,1,1,platform/lang-impl/src/com/intellij/codeInsight/completion/CompletionPhase.java,a3f1066d5bf1c449e157123b225b10550a67358e,6,4
Extract Method,ActionTracker,,16,2,3,platform/lang-impl/src/com/intellij/codeInsight/completion/ActionTracker.java,0d8508a26784c1e0eedd76b1d02b08cff9d3cb07,1,0
Extract Method,ActionTracker,,17,3,4,platform/lang-impl/src/com/intellij/codeInsight/completion/ActionTracker.java,0d8508a26784c1e0eedd76b1d02b08cff9d3cb07,1,0
